;Time;E;S;ES;P
323;29.422259219547207;109;449;1;60
324;29.567272336348204;108;448;2;60
325;29.57830468662185;109;449;1;60
326;29.691981798424486;108;448;2;60
327;29.70521121627074;109;448;1;61
328;29.83197290224143;110;449;0;61
329;29.875884970013416;109;448;1;61
330;30.020775730640374;108;447;2;61
331;30.031176256353827;109;448;1;61
332;30.054404590235183;108;447;2;61
333;30.06328842282091;109;448;1;61
334;30.177012381297057;108;447;2;61
335;30.22699534804037;109;447;1;62
336;30.932832600956047;110;448;0;62
337;30.939403488928487;109;447;1;62
338;30.96578331543419;108;446;2;62
339;30.977127642194755;109;447;1;62
340;31.12738220472909;108;446;2;62
341;31.311059401170628;109;447;1;62
342;31.353696593075153;110;448;0;62
343;31.58627594965468;109;447;1;62
344;31.79021026034391;110;448;0;62
345;32.44935218181335;109;447;1;62
346;32.45293444256153;108;446;2;62
347;32.50006806298445;109;447;1;62
348;32.69078970864096;108;446;2;62
349;32.80280271625299;109;446;1;63
350;32.908318643659754;108;445;2;63
351;33.033803099278074;107;444;3;63
352;33.049944091903264;108;445;2;63
353;33.17064665121704;107;444;3;63
354;33.17940496770396;108;445;2;63
355;33.21450903341577;107;444;3;63
356;33.25520727634912;108;444;2;64
357;33.518335857522565;109;445;1;64
358;33.58186782721136;110;446;0;64
359;33.712348395789725;109;445;1;64
360;33.8304278978497;110;446;0;64
361;33.924780769284204;109;445;1;64
362;33.92541368538933;108;444;2;64
363;33.955494966451994;107;443;3;64
364;33.98647936441037;108;444;2;64
365;34.16465204162405;109;445;1;64
366;34.45538993064158;108;444;2;64
367;34.46008344395089;107;443;3;64
368;34.465023194760775;108;444;2;64
369;34.49497763159628;107;443;3;64
370;34.500641446781465;108;444;2;64
371;34.5415534425913;109;445;1;64
372;34.597420321104174;108;444;2;64
373;34.610517163476;109;445;1;64
374;34.810163127591885;108;444;2;64
375;35.067302685482154;107;443;3;64
376;35.111639971578015;106;442;4;64
377;35.15850917592854;105;441;5;64
378;35.18253095638955;106;442;4;64
379;35.24096631971714;107;442;3;65
380;35.26315597890544;106;441;4;65
381;35.268533087800485;105;440;5;65
382;35.37156223484348;106;441;4;65
383;35.39274874691138;105;440;5;65
384;35.4288404682643;104;439;6;65
385;35.435145778431185;105;439;5;66
386;35.46404308546746;104;438;6;66
