;Time;E;S;ES;P
421;38.74276612253243;109;472;1;37
422;38.8858158583989;108;471;2;37
423;38.921554368558084;107;470;3;37
424;38.9567667773906;108;470;2;38
425;38.984207065213646;109;470;1;39
426;39.241934346958686;108;469;2;39
427;39.36152534644055;107;468;3;39
428;39.41796500252779;108;469;2;39
429;39.60551007373875;107;468;3;39
430;39.629887573507;106;467;4;39
431;39.71478834375816;107;468;3;39
432;39.76317325909194;108;469;2;39
433;39.93250217028573;107;468;3;39
434;39.969914620510316;108;469;2;39
435;40.11307053703842;109;470;1;39
436;40.31065094772176;110;471;0;39
437;40.7941455188458;109;470;1;39
438;40.82558606039191;108;469;2;39
439;40.91029551810279;109;469;1;40
440;41.20983406991743;108;468;2;40
441;41.2463464165243;109;469;1;40
442;41.31356417937718;110;470;0;40
443;41.42025469873745;109;469;1;40
444;41.42733361132328;110;469;0;41
445;41.60622800131471;109;468;1;41
446;41.613076598201474;108;467;2;41
447;41.61845388419916;107;466;3;41
448;41.654481854585406;106;465;4;41
449;41.679188165030574;105;464;5;41
450;41.769442487670105;104;463;6;41
451;41.87046935802134;105;464;5;41
452;41.88506586844489;104;463;6;41
453;41.954082677684674;105;464;5;41
454;41.958214850007096;106;465;4;41
455;42.2831145381811;107;466;3;41
456;42.32565522469962;108;467;2;41
457;42.39645442031595;107;466;3;41
458;42.41937642653236;108;467;2;41
459;42.50693500228914;107;466;3;41
460;42.52722924165453;106;465;4;41
461;42.5421483651718;107;466;3;41
462;42.95309779002044;106;465;4;41
463;43.14081964318437;105;464;5;41
464;43.14105764918813;106;464;4;42
465;43.16965937792204;107;465;3;42
466;43.19059104996298;106;464;4;42
467;43.2079415620976;105;463;5;42
468;43.274524123152716;106;463;4;43
469;43.35707438322471;107;463;3;44
470;43.561351753788934;108;464;2;44
471;43.57413108361114;107;463;3;44
472;43.63562268096781;106;462;4;44
473;43.65202057432181;107;463;3;44
474;43.75364197351226;108;463;2;45
475;43.757122473874766;109;464;1;45
476;43.87518180070291;110;465;0;45
477;43.957546346970545;109;464;1;45
478;44.13105488355608;108;463;2;45
479;44.16115078806958;107;462;3;45
480;44.17609395298783;108;463;2;45
481;44.24237804162483;107;462;3;45
482;44.26873437048483;106;461;4;45
483;44.38555159147558;107;462;3;45
484;44.446381625404676;106;461;4;45
485;44.464248450514106;107;461;3;46
486;44.49161771102064;108;462;2;46
487;44.58536563977595;109;463;1;46
488;44.658240564276255;108;462;2;46
489;44.71209811494172;109;463;1;46
490;44.76724537796513;110;464;0;46
491;45.09103624762136;109;463;1;46
492;45.176296595389374;108;462;2;46
493;45.26575374563397;107;461;3;46
494;45.401585455971755;108;462;2;46
495;45.62486112549539;109;463;1;46
496;45.70884183478004;108;462;2;46
497;45.77154788173635;109;463;1;46
498;45.908231674449794;108;462;2;46
499;45.99041888958344;107;461;3;46
500;46.07669084368307;108;462;2;46
501;46.4428495150902;107;461;3;46
502;46.44982739283803;106;460;4;46
503;46.592660697168654;105;459;5;46
504;46.63953290890227;106;459;4;47
505;46.65146786449345;107;460;3;47
506;46.65601734840891;106;459;4;47
507;46.688767486379;107;460;3;47
508;46.74245227366713;108;460;2;48
509;46.88483469253605;109;461;1;48
510;46.92217598428129;108;460;2;48
511;46.96135283050487;107;459;3;48
512;46.98067992035314;106;458;4;48
513;46.99533424186485;107;459;3;48
514;47.0179782478156;106;458;4;48
515;47.069915422485316;107;459;3;48
516;47.13167252313935;108;460;2;48
517;47.254434654881024;109;461;1;48
518;47.50898090620754;108;460;2;48
519;47.56173200637044;109;461;1;48
520;47.583408010110034;108;460;2;48
521;47.756808443976496;107;459;3;48
522;47.76139795003659;108;460;2;48
523;47.83697672113555;109;461;1;48
524;47.852810612948836;110;461;0;49
525;48.27067025740552;109;460;1;49
526;48.64377032562474;110;461;0;49
527;48.67342325906741;109;460;1;49
528;48.68050518487674;110;461;0;49
529;48.695201729421456;109;460;1;49
530;48.76789906253897;108;459;2;49
531;48.82563945773951;107;458;3;49
532;48.83810463935489;108;459;2;49
533;48.87245848463738;107;458;3;49
534;48.88011389677354;108;459;2;49
535;48.97454916485555;107;458;3;49
536;49.60789372889562;108;459;2;49
537;49.62892765494322;109;460;1;49
538;49.653248384852084;110;461;0;49
539;49.813330581157174;109;460;1;49
540;49.832359499524145;108;459;2;49
